performance_id,employee_id,review_month,rating,remarks
77,77,2024-12,5,Needs Improvement
78,78,2024-12,4,Good
79,79,2024-12,2,Needs Improvement
80,80,2024-12,5,Needs Improvement
81,81,2024-12,5,Needs Improvement
82,82,2024-12,5,Needs Improvement
83,83,2024-12,3,Needs Improvement
84,84,2024-12,2,Needs Improvement
85,85,2024-12,5,Needs Improvement
86,86,2024-12,4,Good
87,87,2024-12,2,Good
88,88,2024-12,1,Needs Improvement
89,89,2024-12,5,Needs Improvement
90,90,2024-12,5,Needs Improvement
91,91,2024-12,3,Good
92,92,2024-12,2,Good
93,93,2024-12,4,Needs Improvement
94,94,2024-12,4,Needs Improvement
95,95,2024-12,4,Needs Improvement
96,96,2024-12,5,Good
97,97,2024-12,3,Needs Improvement
98,98,2024-12,3,Needs Improvement
99,99,2024-12,4,Good
100,100,2024-12,3,Needs Improvement
101,101,2024-12,3,Needs Improvement
102,102,2024-12,2,Good
103,103,2024-12,2,Good
104,104,2024-12,1,Needs Improvement
105,105,2024-12,4,Good
106,106,2024-12,2,Needs Improvement
107,107,2024-12,1,Good
108,108,2024-12,1,Good
109,109,2024-12,2,Needs Improvement
110,110,2024-12,5,Good
111,111,2024-12,1,Good
112,112,2024-12,2,Good
113,113,2024-12,3,Good
114,114,2024-12,5,Needs Improvement
115,115,2024-12,5,Needs Improvement
116,116,2024-12,2,Needs Improvement
117,117,2024-12,5,Good
118,118,2024-12,1,Good
119,119,2024-12,1,Good
120,120,2024-12,4,Needs Improvement
121,121,2024-12,4,Needs Improvement
122,122,2024-12,1,Needs Improvement
123,123,2024-12,4,Good
124,124,2024-12,1,Good
125,125,2024-12,3,Good
126,126,2024-12,5,Good
127,127,2024-12,5,Needs Improvement
128,128,2024-12,5,Good
129,129,2024-12,5,Good
130,130,2024-12,2,Good
131,131,2024-12,3,Good
132,132,2024-12,4,Needs Improvement
133,133,2024-12,4,Good
134,134,2024-12,2,Needs Improvement
135,135,2024-12,5,Good
136,136,2024-12,3,Needs Improvement
137,137,2024-12,2,Needs Improvement
138,138,2024-12,3,Needs Improvement
139,139,2024-12,1,Good
140,140,2024-12,2,Needs Improvement
141,141,2024-12,3,Needs Improvement
142,142,2024-12,3,Good
143,143,2024-12,4,Needs Improvement
144,144,2024-12,3,Needs Improvement
145,145,2024-12,2,Good
146,146,2024-12,4,Good
147,147,2024-12,3,Needs Improvement
148,148,2024-12,1,Needs Improvement
149,149,2024-12,4,Good
150,150,2024-12,2,Needs Improvement
151,151,2024-12,3,Needs Improvement
152,152,2024-12,1,Good
153,153,2024-12,3,Needs Improvement
154,154,2024-12,3,Good
155,155,2024-12,5,Needs Improvement
156,156,2024-12,4,Needs Improvement
157,157,2024-12,3,Good
158,158,2024-12,4,Needs Improvement
159,159,2024-12,3,Needs Improvement
160,160,2024-12,5,Good
161,161,2024-12,3,Needs Improvement
162,162,2024-12,2,Needs Improvement
163,163,2024-12,2,Good
164,164,2024-12,3,Needs Improvement
165,165,2024-12,1,Needs Improvement
166,166,2024-12,3,Needs Improvement
167,167,2024-12,5,Needs Improvement
168,168,2024-12,1,Needs Improvement
169,169,2024-12,2,Needs Improvement
170,170,2024-12,4,Needs Improvement
171,171,2024-12,4,Needs Improvement
172,172,2024-12,2,Needs Improvement
173,173,2024-12,4,Good
174,174,2024-12,5,Needs Improvement
175,175,2024-12,2,Needs Improvement
176,176,2024-12,1,Needs Improvement
177,177,2024-12,5,Good
178,178,2024-12,4,Needs Improvement
179,179,2024-12,2,Needs Improvement
180,180,2024-12,3,Needs Improvement
181,181,2024-12,1,Good
182,182,2024-12,5,Needs Improvement
183,183,2024-12,3,Needs Improvement
184,184,2024-12,1,Needs Improvement
185,185,2024-12,4,Needs Improvement
186,186,2024-12,2,Needs Improvement
187,187,2024-12,1,Needs Improvement
188,188,2024-12,5,Good
189,189,2024-12,3,Good
190,190,2024-12,3,Needs Improvement
191,191,2024-12,1,Good
192,192,2024-12,3,Good
193,193,2024-12,4,Good
194,194,2024-12,1,Good
195,195,2024-12,3,Needs Improvement
196,196,2024-12,5,Needs Improvement
197,197,2024-12,1,Good
198,198,2024-12,2,Needs Improvement
199,199,2024-12,1,Needs Improvement
200,200,2024-12,4,Needs Improvement
