attendance_id,employee_id,date,check_in,check_out,status
74,3,2025-01-14,08:43:00,16:31:00,Present
75,3,2025-01-15,09:22:00,17:31:00,Present
76,3,2025-01-16,08:50:00,17:27:00,Present
77,3,2025-01-17,09:31:00,18:11:00,Present
78,3,2025-01-18,09:25:00,17:48:00,Present
79,3,2025-01-19,08:42:00,16:59:00,Present
80,3,2025-01-20,09:59:00,17:56:00,Present
81,3,2025-01-21,09:24:00,18:11:00,Present
82,3,2025-01-22,08:53:00,17:25:00,Present
83,3,2025-01-23,08:30:00,16:31:00,Present
84,3,2025-01-24,08:43:00,17:23:00,Present
85,3,2025-01-25,08:41:00,16:41:00,Present
86,3,2025-01-26,08:32:00,16:12:00,Present
87,3,2025-01-27,09:28:00,18:13:00,Present
88,3,2025-01-28,09:00:00,16:54:00,Present
89,3,2025-01-29,09:08:00,16:52:00,Present
90,3,2025-01-30,08:32:00,16:17:00,Present
91,4,2025-01-01,09:09:00,17:04:00,Present
92,4,2025-01-02,09:42:00,17:51:00,Present
93,4,2025-01-03,08:41:00,17:27:00,Present
94,4,2025-01-04,08:39:00,16:54:00,Present
95,4,2025-01-05,09:46:00,17:58:00,Present
96,4,2025-01-06,,,Leave
97,4,2025-01-07,09:35:00,17:19:00,Present
98,4,2025-01-08,09:57:00,18:02:00,Present
99,4,2025-01-09,08:50:00,16:47:00,Present
100,4,2025-01-10,09:00:00,17:46:00,Present
101,4,2025-01-11,08:46:00,16:59:00,Present
102,4,2025-01-12,09:50:00,18:39:00,Present
103,4,2025-01-13,08:53:00,17:35:00,Present
104,4,2025-01-14,09:23:00,17:29:00,Present
105,4,2025-01-15,08:34:00,16:40:00,Present
106,4,2025-01-16,09:12:00,17:07:00,Present
107,4,2025-01-17,09:20:00,18:07:00,Present
108,4,2025-01-18,09:02:00,17:07:00,Present
109,4,2025-01-19,09:49:00,17:30:00,Present
110,4,2025-01-20,,,Absent
111,4,2025-01-21,08:57:00,17:23:00,Present
112,4,2025-01-22,09:47:00,18:20:00,Present
113,4,2025-01-23,09:43:00,17:28:00,Present
114,4,2025-01-24,09:34:00,18:08:00,Present
115,4,2025-01-25,09:28:00,17:08:00,Present
116,4,2025-01-26,09:47:00,18:31:00,Present
117,4,2025-01-27,09:47:00,17:59:00,Present
118,4,2025-01-28,09:34:00,17:20:00,Present
119,4,2025-01-29,09:39:00,18:24:00,Present
120,4,2025-01-30,09:53:00,18:18:00,Present
121,5,2025-01-01,09:45:00,17:58:00,Present
122,5,2025-01-02,08:58:00,17:27:00,Present
123,5,2025-01-03,09:43:00,18:21:00,Present
124,5,2025-01-04,09:18:00,18:00:00,Present
125,5,2025-01-05,09:53:00,18:20:00,Present
126,5,2025-01-06,09:27:00,17:29:00,Present
127,5,2025-01-07,,,Absent
128,5,2025-01-08,09:01:00,17:24:00,Present
129,5,2025-01-09,08:57:00,17:28:00,Present
130,5,2025-01-10,09:37:00,18:03:00,Present
131,5,2025-01-11,09:51:00,18:17:00,Present
132,5,2025-01-12,08:38:00,16:25:00,Present
133,5,2025-01-13,08:46:00,17:29:00,Present
134,5,2025-01-14,09:45:00,17:40:00,Present
135,5,2025-01-15,09:35:00,17:38:00,Present
136,5,2025-01-16,08:30:00,17:06:00,Present
137,5,2025-01-17,09:45:00,17:59:00,Present
138,5,2025-01-18,09:03:00,17:03:00,Present
139,5,2025-01-19,09:54:00,18:28:00,Present
140,5,2025-01-20,09:30:00,17:57:00,Present
141,5,2025-01-21,09:21:00,17:45:00,Present
142,5,2025-01-22,09:50:00,17:52:00,Present
143,5,2025-01-23,09:15:00,18:03:00,Present
144,5,2025-01-24,09:48:00,18:20:00,Present
145,5,2025-01-25,09:59:00,18:17:00,Present
146,5,2025-01-26,09:10:00,17:17:00,Present
147,5,2025-01-27,09:55:00,17:42:00,Present
148,5,2025-01-28,09:11:00,17:02:00,Present
149,5,2025-01-29,09:17:00,17:43:00,Present
150,5,2025-01-30,09:33:00,17:47:00,Present
151,6,2025-01-01,09:36:00,18:19:00,Present
152,6,2025-01-02,09:13:00,17:14:00,Present
153,6,2025-01-03,,,Leave
154,6,2025-01-04,08:49:00,17:24:00,Present
155,6,2025-01-05,08:45:00,17:13:00,Present
156,6,2025-01-06,09:48:00,18:22:00,Present
157,6,2025-01-07,09:33:00,17:46:00,Present
158,6,2025-01-08,08:56:00,17:10:00,Present
159,6,2025-01-09,08:59:00,17:02:00,Present
160,6,2025-01-10,09:29:00,17:31:00,Present
161,6,2025-01-11,09:56:00,17:46:00,Present
162,6,2025-01-12,08:43:00,16:50:00,Present
163,6,2025-01-13,09:03:00,16:49:00,Present
164,6,2025-01-14,09:17:00,18:06:00,Present
165,6,2025-01-15,08:57:00,16:40:00,Present
166,6,2025-01-16,08:33:00,16:34:00,Present
167,6,2025-01-17,09:36:00,18:15:00,Present
168,6,2025-01-18,,,Leave
169,6,2025-01-19,08:50:00,17:01:00,Present
170,6,2025-01-20,09:13:00,17:38:00,Present
171,6,2025-01-21,09:11:00,17:29:00,Present
172,6,2025-01-22,09:01:00,17:05:00,Present
173,6,2025-01-23,09:38:00,18:14:00,Present
174,6,2025-01-24,09:27:00,17:27:00,Present
175,6,2025-01-25,08:38:00,17:01:00,Present
176,6,2025-01-26,09:28:00,17:23:00,Present
177,6,2025-01-27,08:46:00,16:28:00,Present
178,6,2025-01-28,08:41:00,17:17:00,Present
179,6,2025-01-29,08:37:00,16:23:00,Present
180,6,2025-01-30,09:22:00,17:44:00,Present
181,7,2025-01-01,09:12:00,16:58:00,Present
182,7,2025-01-02,09:20:00,17:31:00,Present
183,7,2025-01-03,09:00:00,17:08:00,Present
184,7,2025-01-04,09:18:00,17:36:00,Present
185,7,2025-01-05,09:01:00,17:23:00,Present
186,7,2025-01-06,08:34:00,16:59:00,Present
187,7,2025-01-07,09:02:00,17:17:00,Present
188,7,2025-01-08,09:59:00,17:51:00,Present
189,7,2025-01-09,09:27:00,17:07:00,Present
190,7,2025-01-10,08:56:00,17:23:00,Present
191,7,2025-01-11,,,Absent
192,7,2025-01-12,09:13:00,17:07:00,Present
193,7,2025-01-13,09:31:00,17:11:00,Present
194,7,2025-01-14,09:02:00,17:25:00,Present
195,7,2025-01-15,08:46:00,17:16:00,Present
196,7,2025-01-16,08:50:00,16:52:00,Present
197,7,2025-01-17,,,Leave
198,7,2025-01-18,09:45:00,17:26:00,Present
199,7,2025-01-19,09:36:00,17:45:00,Present
200,7,2025-01-20,09:43:00,17:37:00,Present
201,7,2025-01-21,08:56:00,16:47:00,Present
202,7,2025-01-22,09:21:00,18:09:00,Present
203,7,2025-01-23,09:14:00,18:02:00,Present
204,7,2025-01-24,09:02:00,17:50:00,Present
205,7,2025-01-25,08:47:00,16:49:00,Present
206,7,2025-01-26,,,Absent
207,7,2025-01-27,08:46:00,16:56:00,Present
208,7,2025-01-28,08:32:00,16:54:00,Present
209,7,2025-01-29,08:58:00,17:05:00,Present
210,7,2025-01-30,08:40:00,16:51:00,Present
211,8,2025-01-01,09:50:00,18:04:00,Present
212,8,2025-01-02,09:56:00,17:55:00,Present
213,8,2025-01-03,09:06:00,17:10:00,Present
214,8,2025-01-04,09:20:00,17:37:00,Present
215,8,2025-01-05,08:55:00,16:41:00,Present
216,8,2025-01-06,08:50:00,17:33:00,Present
217,8,2025-01-07,09:02:00,16:58:00,Present
218,8,2025-01-08,08:54:00,17:19:00,Present
219,8,2025-01-09,09:08:00,17:10:00,Present
220,8,2025-01-10,09:44:00,17:50:00,Present
221,8,2025-01-11,09:59:00,17:55:00,Present
222,8,2025-01-12,09:23:00,17:21:00,Present
223,8,2025-01-13,09:28:00,17:21:00,Present
224,8,2025-01-14,09:01:00,17:23:00,Present
225,8,2025-01-15,08:32:00,17:15:00,Present
226,8,2025-01-16,08:54:00,16:55:00,Present
227,8,2025-01-17,09:26:00,18:02:00,Present
228,8,2025-01-18,09:50:00,18:18:00,Present
229,8,2025-01-19,09:58:00,17:49:00,Present
230,8,2025-01-20,08:38:00,17:10:00,Present
231,8,2025-01-21,09:58:00,17:41:00,Present
232,8,2025-01-22,09:12:00,17:35:00,Present
233,8,2025-01-23,08:56:00,17:27:00,Present
234,8,2025-01-24,09:13:00,17:32:00,Present
235,8,2025-01-25,09:38:00,17:40:00,Present
236,8,2025-01-26,,,Absent
237,8,2025-01-27,,,Absent
238,8,2025-01-28,09:12:00,17:11:00,Present
239,8,2025-01-29,09:42:00,17:51:00,Present
240,8,2025-01-30,,,Absent
241,9,2025-01-01,09:52:00,18:16:00,Present
242,9,2025-01-02,09:14:00,17:53:00,Present
243,9,2025-01-03,09:36:00,17:43:00,Present
244,9,2025-01-04,09:05:00,17:21:00,Present
245,9,2025-01-05,08:49:00,16:42:00,Present
246,9,2025-01-06,09:09:00,17:38:00,Present
247,9,2025-01-07,09:18:00,17:17:00,Present
248,9,2025-01-08,09:12:00,16:53:00,Present
249,9,2025-01-09,09:56:00,18:02:00,Present
250,9,2025-01-10,09:00:00,17:27:00,Present
251,9,2025-01-11,09:29:00,17:21:00,Present
252,9,2025-01-12,09:47:00,17:55:00,Present
253,9,2025-01-13,09:26:00,17:31:00,Present
254,9,2025-01-14,09:03:00,17:38:00,Present
255,9,2025-01-15,,,Absent
256,9,2025-01-16,09:06:00,17:47:00,Present
257,9,2025-01-17,09:42:00,17:34:00,Present
258,9,2025-01-18,09:06:00,17:21:00,Present
259,9,2025-01-19,,,Leave
260,9,2025-01-20,08:38:00,17:10:00,Present
261,9,2025-01-21,08:44:00,16:51:00,Present
262,9,2025-01-22,09:33:00,17:13:00,Present
263,9,2025-01-23,08:41:00,16:23:00,Present
264,9,2025-01-24,09:12:00,17:40:00,Present
265,9,2025-01-25,09:46:00,17:41:00,Present
266,9,2025-01-26,09:13:00,17:53:00,Present
267,9,2025-01-27,08:33:00,16:48:00,Present
268,9,2025-01-28,09:19:00,17:44:00,Present
269,9,2025-01-29,08:52:00,17:00:00,Present
270,9,2025-01-30,09:13:00,17:46:00,Present
271,10,2025-01-01,09:04:00,17:06:00,Present
272,10,2025-01-02,09:22:00,17:16:00,Present
273,10,2025-01-03,09:51:00,17:46:00,Present
274,10,2025-01-04,08:45:00,17:30:00,Present
275,10,2025-01-05,09:32:00,18:20:00,Present
276,10,2025-01-06,09:10:00,16:55:00,Present
277,10,2025-01-07,08:59:00,16:44:00,Present
278,10,2025-01-08,09:34:00,17:20:00,Present
279,10,2025-01-09,08:48:00,16:28:00,Present
280,10,2025-01-10,08:50:00,17:06:00,Present
281,10,2025-01-11,09:07:00,16:47:00,Present
282,10,2025-01-12,09:40:00,17:52:00,Present
283,10,2025-01-13,,,Leave
284,10,2025-01-14,09:09:00,16:59:00,Present
285,10,2025-01-15,08:44:00,16:44:00,Present
286,10,2025-01-16,08:35:00,16:37:00,Present
287,10,2025-01-17,09:04:00,17:22:00,Present
288,10,2025-01-18,09:35:00,18:13:00,Present
289,10,2025-01-19,,,Leave
290,10,2025-01-20,,,Absent
291,10,2025-01-21,08:36:00,16:49:00,Present
292,10,2025-01-22,09:57:00,18:34:00,Present
293,10,2025-01-23,09:11:00,17:38:00,Present
294,10,2025-01-24,08:57:00,16:46:00,Present
295,10,2025-01-25,09:56:00,18:03:00,Present
296,10,2025-01-26,08:39:00,17:21:00,Present
297,10,2025-01-27,08:36:00,16:59:00,Present
298,10,2025-01-28,09:16:00,17:04:00,Present
299,10,2025-01-29,08:58:00,17:04:00,Present
300,10,2025-01-30,09:43:00,17:32:00,Present
301,11,2025-01-01,08:31:00,16:46:00,Present
302,11,2025-01-02,09:38:00,17:39:00,Present
303,11,2025-01-03,09:25:00,17:51:00,Present
304,11,2025-01-04,,,Leave
305,11,2025-01-05,09:47:00,18:33:00,Present
306,11,2025-01-06,09:05:00,17:17:00,Present
307,11,2025-01-07,08:39:00,16:56:00,Present
308,11,2025-01-08,09:43:00,17:52:00,Present
309,11,2025-01-09,09:02:00,17:11:00,Present
310,11,2025-01-10,,,Absent
311,11,2025-01-11,08:58:00,16:46:00,Present
312,11,2025-01-12,09:00:00,17:16:00,Present
313,11,2025-01-13,08:56:00,17:00:00,Present
314,11,2025-01-14,08:51:00,17:09:00,Present
315,11,2025-01-15,09:36:00,17:59:00,Present
316,11,2025-01-16,09:03:00,17:24:00,Present
317,11,2025-01-17,09:26:00,17:56:00,Present
318,11,2025-01-18,08:57:00,16:58:00,Present
319,11,2025-01-19,08:53:00,17:04:00,Present
320,11,2025-01-20,08:53:00,16:58:00,Present
321,11,2025-01-21,09:06:00,17:53:00,Present
322,11,2025-01-22,09:53:00,18:32:00,Present
323,11,2025-01-23,09:23:00,17:34:00,Present
324,11,2025-01-24,09:01:00,16:55:00,Present
325,11,2025-01-25,08:47:00,16:46:00,Present
326,11,2025-01-26,09:53:00,18:02:00,Present
327,11,2025-01-27,08:45:00,16:56:00,Present
328,11,2025-01-28,09:36:00,18:20:00,Present
329,11,2025-01-29,09:33:00,17:16:00,Present
330,11,2025-01-30,09:29:00,17:56:00,Present
331,12,2025-01-01,08:36:00,17:11:00,Present
332,12,2025-01-02,08:56:00,17:29:00,Present
333,12,2025-01-03,,,Absent
334,12,2025-01-04,09:48:00,17:51:00,Present
335,12,2025-01-05,09:42:00,18:02:00,Present
336,12,2025-01-06,09:38:00,18:10:00,Present
337,12,2025-01-07,09:07:00,17:44:00,Present
338,12,2025-01-08,09:14:00,17:39:00,Present
339,12,2025-01-09,08:56:00,17:31:00,Present
340,12,2025-01-10,08:31:00,16:25:00,Present
341,12,2025-01-11,09:34:00,17:47:00,Present
342,12,2025-01-12,08:43:00,17:00:00,Present
343,12,2025-01-13,09:44:00,18:18:00,Present
344,12,2025-01-14,09:44:00,17:54:00,Present
345,12,2025-01-15,09:43:00,18:31:00,Present
346,12,2025-01-16,09:07:00,16:51:00,Present
347,12,2025-01-17,09:37:00,18:05:00,Present
348,12,2025-01-18,08:43:00,16:47:00,Present
349,12,2025-01-19,08:30:00,17:16:00,Present
350,12,2025-01-20,08:56:00,17:36:00,Present
351,12,2025-01-21,08:40:00,16:52:00,Present
352,12,2025-01-22,09:05:00,16:58:00,Present
353,12,2025-01-23,08:45:00,17:09:00,Present
354,12,2025-01-24,08:34:00,16:47:00,Present
355,12,2025-01-25,,,Absent
356,12,2025-01-26,09:05:00,17:27:00,Present
357,12,2025-01-27,09:16:00,17:53:00,Present
358,12,2025-01-28,08:43:00,17:06:00,Present
359,12,2025-01-29,09:39:00,17:53:00,Present
360,12,2025-01-30,08:33:00,16:49:00,Present
361,13,2025-01-01,08:48:00,17:03:00,Present
362,13,2025-01-02,09:50:00,17:35:00,Present
363,13,2025-01-03,08:48:00,17:15:00,Present
364,13,2025-01-04,09:50:00,18:06:00,Present
365,13,2025-01-05,09:14:00,17:55:00,Present
366,13,2025-01-06,09:39:00,18:18:00,Present
367,13,2025-01-07,08:53:00,17:20:00,Present
368,13,2025-01-08,09:12:00,16:55:00,Present
369,13,2025-01-09,09:04:00,17:25:00,Present
370,13,2025-01-10,08:41:00,17:03:00,Present
371,13,2025-01-11,08:56:00,17:17:00,Present
372,13,2025-01-12,09:14:00,17:58:00,Present
373,13,2025-01-13,09:21:00,17:54:00,Present
374,13,2025-01-14,08:40:00,16:45:00,Present
375,13,2025-01-15,09:15:00,17:19:00,Present
376,13,2025-01-16,08:47:00,16:48:00,Present
377,13,2025-01-17,08:57:00,16:53:00,Present
378,13,2025-01-18,09:19:00,17:00:00,Present
379,13,2025-01-19,09:14:00,17:19:00,Present
380,13,2025-01-20,09:49:00,17:46:00,Present
381,13,2025-01-21,09:23:00,17:28:00,Present
382,13,2025-01-22,09:44:00,18:24:00,Present
383,13,2025-01-23,09:15:00,17:18:00,Present
384,13,2025-01-24,,,Absent
385,13,2025-01-25,08:33:00,16:21:00,Present
386,13,2025-01-26,09:39:00,18:17:00,Present
387,13,2025-01-27,09:52:00,17:44:00,Present
388,13,2025-01-28,09:22:00,17:35:00,Present
389,13,2025-01-29,09:43:00,17:55:00,Present
390,13,2025-01-30,08:56:00,16:48:00,Present
391,14,2025-01-01,08:56:00,16:38:00,Present
392,14,2025-01-02,09:20:00,17:26:00,Present
393,14,2025-01-03,09:00:00,17:31:00,Present
394,14,2025-01-04,08:42:00,17:10:00,Present
395,14,2025-01-05,08:48:00,16:49:00,Present
396,14,2025-01-06,09:01:00,16:53:00,Present
397,14,2025-01-07,,,Absent
398,14,2025-01-08,09:44:00,17:41:00,Present
399,14,2025-01-09,09:19:00,17:52:00,Present
400,14,2025-01-10,09:59:00,18:48:00,Present
401,14,2025-01-11,08:59:00,17:00:00,Present
402,14,2025-01-12,09:49:00,18:06:00,Present
403,14,2025-01-13,09:43:00,17:57:00,Present
404,14,2025-01-14,09:17:00,18:00:00,Present
405,14,2025-01-15,09:12:00,17:06:00,Present
406,14,2025-01-16,08:37:00,16:56:00,Present
407,14,2025-01-17,09:24:00,17:15:00,Present
408,14,2025-01-18,09:31:00,17:19:00,Present
409,14,2025-01-19,09:49:00,18:17:00,Present
410,14,2025-01-20,09:12:00,17:17:00,Present
411,14,2025-01-21,09:24:00,17:06:00,Present
412,14,2025-01-22,08:46:00,16:40:00,Present
413,14,2025-01-23,09:42:00,18:09:00,Present
414,14,2025-01-24,09:13:00,17:30:00,Present
415,14,2025-01-25,08:54:00,17:42:00,Present
416,14,2025-01-26,08:56:00,16:49:00,Present
417,14,2025-01-27,08:38:00,16:51:00,Present
418,14,2025-01-28,09:25:00,17:24:00,Present
419,14,2025-01-29,08:59:00,17:37:00,Present
420,14,2025-01-30,08:59:00,17:17:00,Present
421,15,2025-01-01,08:56:00,17:34:00,Present
422,15,2025-01-02,09:26:00,17:29:00,Present
423,15,2025-01-03,09:09:00,17:12:00,Present
424,15,2025-01-04,08:36:00,17:09:00,Present
425,15,2025-01-05,08:40:00,16:45:00,Present
426,15,2025-01-06,,,Absent
427,15,2025-01-07,08:33:00,16:49:00,Present
428,15,2025-01-08,09:33:00,17:15:00,Present
429,15,2025-01-09,08:56:00,17:39:00,Present
430,15,2025-01-10,08:42:00,17:26:00,Present
431,15,2025-01-11,09:04:00,16:59:00,Present
432,15,2025-01-12,09:36:00,17:41:00,Present
433,15,2025-01-13,08:31:00,17:16:00,Present
434,15,2025-01-14,09:52:00,17:51:00,Present
435,15,2025-01-15,08:39:00,17:27:00,Present
436,15,2025-01-16,08:49:00,17:01:00,Present
437,15,2025-01-17,09:08:00,17:00:00,Present
438,15,2025-01-18,08:31:00,16:42:00,Present
439,15,2025-01-19,08:59:00,17:05:00,Present
440,15,2025-01-20,,,Absent
441,15,2025-01-21,09:40:00,18:24:00,Present
442,15,2025-01-22,09:24:00,17:38:00,Present
443,15,2025-01-23,09:40:00,17:38:00,Present
444,15,2025-01-24,09:00:00,17:31:00,Present
445,15,2025-01-25,09:54:00,18:39:00,Present
446,15,2025-01-26,09:19:00,18:08:00,Present
447,15,2025-01-27,09:34:00,17:49:00,Present
448,15,2025-01-28,09:53:00,18:22:00,Present
449,15,2025-01-29,09:11:00,17:14:00,Present
450,15,2025-01-30,09:55:00,18:40:00,Present
451,16,2025-01-01,08:59:00,17:28:00,Present
452,16,2025-01-02,08:30:00,16:47:00,Present
453,16,2025-01-03,08:32:00,16:22:00,Present
454,16,2025-01-04,09:15:00,17:25:00,Present
455,16,2025-01-05,09:38:00,17:57:00,Present
456,16,2025-01-06,08:43:00,17:18:00,Present
457,16,2025-01-07,08:34:00,16:57:00,Present
458,16,2025-01-08,09:59:00,18:41:00,Present
459,16,2025-01-09,08:33:00,16:35:00,Present
460,16,2025-01-10,09:58:00,18:05:00,Present
461,16,2025-01-11,08:31:00,17:06:00,Present
462,16,2025-01-12,09:29:00,17:10:00,Present
463,16,2025-01-13,09:44:00,18:04:00,Present
464,16,2025-01-14,08:39:00,16:29:00,Present
465,16,2025-01-15,08:42:00,17:31:00,Present
466,16,2025-01-16,08:45:00,16:58:00,Present
467,16,2025-01-17,,,Absent
468,16,2025-01-18,08:53:00,17:38:00,Present
469,16,2025-01-19,,,Leave
470,16,2025-01-20,09:56:00,17:52:00,Present
471,16,2025-01-21,08:35:00,16:36:00,Present
472,16,2025-01-22,09:19:00,17:36:00,Present
473,16,2025-01-23,09:16:00,18:04:00,Present
474,16,2025-01-24,09:07:00,17:25:00,Present
475,16,2025-01-25,09:11:00,17:26:00,Present
476,16,2025-01-26,,,Absent
477,16,2025-01-27,08:53:00,17:11:00,Present
478,16,2025-01-28,08:30:00,16:43:00,Present
479,16,2025-01-29,09:27:00,17:46:00,Present
480,16,2025-01-30,09:17:00,17:07:00,Present
481,17,2025-01-01,09:23:00,17:25:00,Present
482,17,2025-01-02,08:39:00,16:19:00,Present
483,17,2025-01-03,09:09:00,17:30:00,Present
484,17,2025-01-04,09:19:00,17:55:00,Present
485,17,2025-01-05,09:34:00,18:01:00,Present
486,17,2025-01-06,09:06:00,17:36:00,Present
487,17,2025-01-07,09:31:00,17:18:00,Present
488,17,2025-01-08,09:02:00,17:48:00,Present
489,17,2025-01-09,09:43:00,17:41:00,Present
490,17,2025-01-10,,,Absent
491,17,2025-01-11,,,Absent
492,17,2025-01-12,,,Leave
493,17,2025-01-13,09:43:00,17:27:00,Present
494,17,2025-01-14,09:48:00,18:06:00,Present
495,17,2025-01-15,08:49:00,16:48:00,Present
496,17,2025-01-16,09:34:00,17:53:00,Present
497,17,2025-01-17,09:39:00,18:18:00,Present
498,17,2025-01-18,09:01:00,17:42:00,Present
499,17,2025-01-19,08:50:00,17:17:00,Present
500,17,2025-01-20,09:35:00,17:54:00,Present
501,17,2025-01-21,08:46:00,17:08:00,Present
502,17,2025-01-22,08:38:00,17:16:00,Present
503,17,2025-01-23,08:36:00,16:41:00,Present
504,17,2025-01-24,,,Leave
505,17,2025-01-25,09:28:00,17:26:00,Present
506,17,2025-01-26,09:47:00,17:37:00,Present
507,17,2025-01-27,09:02:00,17:15:00,Present
508,17,2025-01-28,09:21:00,17:55:00,Present
509,17,2025-01-29,09:13:00,17:30:00,Present
510,17,2025-01-30,08:51:00,17:06:00,Present
511,18,2025-01-01,08:47:00,16:30:00,Present
512,18,2025-01-02,,,Leave
513,18,2025-01-03,09:47:00,17:28:00,Present
514,18,2025-01-04,,,Leave
515,18,2025-01-05,09:23:00,17:57:00,Present
516,18,2025-01-06,08:44:00,17:01:00,Present
517,18,2025-01-07,09:24:00,17:30:00,Present
518,18,2025-01-08,09:31:00,17:49:00,Present
519,18,2025-01-09,09:48:00,17:58:00,Present
520,18,2025-01-10,08:45:00,17:26:00,Present
521,18,2025-01-11,08:34:00,16:29:00,Present
522,18,2025-01-12,09:36:00,17:17:00,Present
523,18,2025-01-13,09:35:00,18:16:00,Present
524,18,2025-01-14,09:23:00,17:40:00,Present
525,18,2025-01-15,08:43:00,16:28:00,Present
526,18,2025-01-16,09:11:00,17:21:00,Present
527,18,2025-01-17,08:44:00,17:31:00,Present
528,18,2025-01-18,09:51:00,18:14:00,Present
529,18,2025-01-19,09:46:00,18:02:00,Present
530,18,2025-01-20,09:11:00,16:51:00,Present
531,18,2025-01-21,09:29:00,18:15:00,Present
532,18,2025-01-22,08:56:00,16:41:00,Present
533,18,2025-01-23,09:20:00,18:08:00,Present
534,18,2025-01-24,08:33:00,16:33:00,Present
535,18,2025-01-25,08:36:00,17:02:00,Present
536,18,2025-01-26,,,Absent
537,18,2025-01-27,09:04:00,16:56:00,Present
538,18,2025-01-28,08:46:00,16:54:00,Present
539,18,2025-01-29,08:49:00,17:33:00,Present
540,18,2025-01-30,09:09:00,17:23:00,Present
541,19,2025-01-01,08:39:00,16:21:00,Present
542,19,2025-01-02,,,Absent
543,19,2025-01-03,08:53:00,16:43:00,Present
544,19,2025-01-04,09:27:00,17:32:00,Present
545,19,2025-01-05,08:40:00,16:59:00,Present
546,19,2025-01-06,09:56:00,18:45:00,Present
547,19,2025-01-07,09:35:00,18:10:00,Present
548,19,2025-01-08,08:52:00,16:55:00,Present
549,19,2025-01-09,09:12:00,17:02:00,Present
550,19,2025-01-10,08:52:00,17:17:00,Present
